movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
9383,False,2,10491,Directing,Paul Verhoeven,Paul Verhoeven,6.98,/wxkroRBtM6NKZdx9sYLFfFSGnaR.jpg,52fe44f0c3a36847f80b2f5d,Directing,Director
9384,False,2,57130,Directing,Todd Phillips,Todd Phillips,9.127,/A6FPht87DiqXzp456WjakLi2AtP.jpg,52fe44f0c3a36847f80b2ff1,Directing,Director
9385,False,0,57542,Directing,Henri Gruel,Henri Gruel,0.627,,52fe44f0c3a36847f80b309b,Directing,Director
9385,False,2,57543,Directing,Pierre Watrin,Pierre Watrin,0.6,,52fe44f0c3a36847f80b30a7,Directing,Director
9386,False,2,5231,Directing,Wolfgang Petersen,Wolfgang Petersen,5.099,/8TTijeJBFITOhvJruS68aCjwK9f.jpg,52fe44f0c3a36847f80b3113,Directing,Director
9388,False,2,52443,Directing,Jason Reitman,Jason Reitman,3.001,/eNNN1dwfB6b6p2hoEG1xyoa7H2p.jpg,52fe44f1c3a36847f80b3269,Directing,Director
9389,False,2,57557,Directing,Christian Volckman,Christian Volckman,1.4,/jOEFGYgnO8Vo7YvJSFgYJHawEF0.jpg,52fe44f1c3a36847f80b331d,Directing,Director
9391,False,2,7017,Directing,Roger Michell,Roger Michell,3.585,/lZP8wowfwLZ0rIld95KSkmGQd23.jpg,52fe44f1c3a36847f80b3465,Directing,Director
9392,False,2,57581,Directing,Neil Marshall,Neil Marshall,2.561,/niiQO8m2fEIdmEBYdawulBSIzwY.jpg,52fe44f1c3a36847f80b34bb,Directing,Director
9393,False,2,52961,Directing,Dennis Gansel,Dennis Gansel,5.243,/tf34YKOXKKzE3ib21FSFiACCWi2.jpg,52fe44f1c3a36847f80b353d,Directing,Director
9394,False,2,56033,Directing,Enzo Barboni,Enzo Barboni,1.505,/FNEhWLJlW3xffArVlVvsmv3Wnk.jpg,52fe44f2c3a36847f80b35b1,Directing,Director
9395,False,2,12989,Directing,Andrew Davis,Andrew Davis,1.812,/csTQMywuMkOttSiLzYMMaCMILHH.jpg,52fe44f2c3a36847f80b3633,Directing,Director
9400,False,2,37932,Directing,F. Gary Gray,F. Gary Gray,3.364,/gAM7rzBe0i9LMG7rX24y3ekPW5x.jpg,52fe44f3c3a36847f80b39eb,Directing,Director
9401,False,2,27846,Directing,John Herzfeld,John Herzfeld,2.72,/opDaQuBZwM0p8K6HFw8mRbspT8S.jpg,52fe44f3c3a36847f80b3a47,Directing,Director
9402,False,0,28193,Directing,Peter F. Bringmann,Peter F. Bringmann,0.6,,52fe44f3c3a36847f80b3acb,Directing,Director
9403,False,1,31024,Directing,Betty Thomas,Betty Thomas,3.856,/y9K6S2TsiLpcQoIwDM1qigx1VJ4.jpg,52fe44f3c3a36847f80b3b05,Directing,Director
9404,False,2,44916,Directing,Stanley Tong,Stanley Tong,4.659,/cunufPnRrZuYwvz8M11c3cr6GVf.jpg,52fe44f3c3a36847f80b3b93,Directing,Director
9405,False,2,26760,Directing,Tsui Hark,Tsui Hark,6.566,/9WTG1Feva6S7n09dxON40KHBsuk.jpg,52fe44f3c3a36847f80b3c33,Directing,Director
9406,False,2,58384,Directing,Anthony Waller,Anthony Waller,1.96,,52fe44f3c3a36847f80b3cf5,Directing,Director
9408,False,2,15774,Directing,Chris Buck,Chris Buck,1.943,/ponaYm3Xr1Pki8JVDSIzfA4NkNw.jpg,6412b70926677800ec69a033,Directing,Director
9409,False,2,12840,Directing,John Badham,John Badham,4.484,/hh0EssedcgUOICkZywbVuwVOJO4.jpg,52fe44f4c3a36847f80b3edf,Directing,Director
9410,False,2,11218,Directing,Alfonso Cuarón,Alfonso Cuarón,10.145,/eoCHiXaQzGgx9RiwXnt3k239FLc.jpg,52fe44f4c3a36847f80b3f1b,Directing,Director
9411,False,2,17812,Directing,Gregory Hoblit,Gregory Hoblit,2.406,/1YUF4UpcCX3j3J65a4L1KoLOHAl.jpg,52fe44f4c3a36847f80b3f77,Directing,Director
9412,False,2,21892,Directing,Peter Fratzscher,Peter Fratzscher,0.6,,52fe44f4c3a36847f80b3fbb,Directing,Director
9414,False,2,15148,Directing,Jon Amiel,Jon Amiel,2.019,/tZf4VLvFobxizCzDQ6xQdygGT9.jpg,52fe44f4c3a36847f80b4061,Directing,Director
9415,False,2,56998,Directing,Dwight H. Little,Dwight H. Little,3.26,/ezXjUoBIeb1LrDTi4Pp3G8lhAok.jpg,52fe44f4c3a36847f80b40f1,Directing,Director
9418,False,0,58701,Directing,Hardy Martins,Hardy Martins,0.98,,52fe44f5c3a36847f80b4245,Directing,Director
9419,False,2,1843,Directing,Thomas Jahn,Thomas Jahn,1.138,,52fe44f5c3a36847f80b4279,Directing,Director
9424,False,2,33316,Directing,David Nutter,David Nutter,1.735,/obyikiv6rf8hgwUKJKRJdMT3YEK.jpg,52fe44f5c3a36847f80b4471,Directing,Director
9425,False,2,4014,Directing,Paul W. S. Anderson,Paul W. S. Anderson,14.345,/AeYYSi30WCkowdk04Awa0kr1E4S.jpg,52fe44f5c3a36847f80b44f7,Directing,Director
9426,False,2,224,Directing,David Cronenberg,David Cronenberg,11.593,/kLHnBnUomcH96PdLRBnuZUzRoY1.jpg,52fe44f6c3a36847f80b455d,Directing,Director
9427,False,2,57630,Directing,Peter Cattaneo,Peter Cattaneo,2.121,/pbEHAEZJoViBebsf9LbN7vjbGcm.jpg,52fe44f6c3a36847f80b45d7,Directing,Director
9428,False,2,5655,Directing,Wes Anderson,Wes Anderson,18.158,/5z2WroP0CgQ5vI17M0hzi8o5NAn.jpg,52fe44f6c3a36847f80b462f,Directing,Director
9429,False,2,58316,Directing,John Fortenberry,John Fortenberry,1.181,/cDOXgCxHBqIKVr4lkB6R89QoiqO.jpg,52fe44f6c3a36847f80b46c7,Directing,Director
9430,False,2,11694,Directing,Doug Liman,Doug Liman,8.162,/6ebrRCsERA1IchMiF5SufD66stS.jpg,52fe44f6c3a36847f80b4755,Directing,Director
9432,False,2,1869,Directing,Sönke Wortmann,Sönke Wortmann,0.997,/hFQeziBgFDu5YsLb5ofqTErq0J9.jpg,52fe44f6c3a36847f80b485f,Directing,Director
9433,False,2,7256,Directing,Lee Tamahori,Lee Tamahori,7.65,/lkivtT9U7gLXVnhq5qF9GL3k7NN.jpg,52fe44f6c3a36847f80b4891,Directing,Director
9437,False,2,5501,Directing,Gary Fleder,Gary Fleder,3.625,/w7P8UyWeyB2CB4Eq9wHlMVj7bQk.jpg,52fe44f7c3a36847f80b49a9,Directing,Director
9438,False,2,44916,Directing,Stanley Tong,Stanley Tong,4.659,/cunufPnRrZuYwvz8M11c3cr6GVf.jpg,52fe44f7c3a36847f80b4a6d,Directing,Director
9439,False,2,54525,Directing,Jaume Balagueró,Jaume Balagueró,2.574,/geO40SjPO5G7nHn1pRrAGORD7xM.jpg,52fe44f7c3a36847f80b4adb,Directing,Director
9440,False,2,5342,Directing,Mike Nichols,Mike Nichols,3.427,/eJgJEVil7iOJ9sTAXLCVRKfeKKM.jpg,52fe44f7c3a36847f80b4b49,Directing,Director
9441,False,2,10965,Directing,Chris Columbus,Chris Columbus,5.044,/yCyEz90NqjEXKZ7HYcEhDXlLlPc.jpg,52fe44f7c3a36847f80b4bc7,Directing,Director
9443,False,2,58220,Directing,Hugh Hudson,Hugh Hudson,4.17,/mVuyIOGwLBMGABMoZwLVCqowLuo.jpg,52fe44f8c3a36847f80b4d47,Directing,Director
9444,False,2,40345,Directing,Don Bluth,Don Bluth,3.046,/vzeIEidWO7v2Dfw7iMv3Xjnmfwd.jpg,52fe44f8c3a36847f80b4e0d,Directing,Director
9445,False,2,9032,Directing,Bryan Singer,Bryan Singer,6.67,/ts06thbCv9Ug2mNpcbcrmLGRL4Q.jpg,52fe44f8c3a36847f80b4eab,Directing,Director
9446,False,2,58072,Directing,John Pasquin,John Pasquin,3.191,/xWFzQthcWx0PoBa7VLKu02GvN1d.jpg,52fe44f8c3a36847f80b4f3d,Directing,Director
9447,False,2,20629,Directing,George Miller,George Miller,8.048,/eUzusS4Q8lOdlyjxQ777pf9oLuu.jpg,52fe44f8c3a36847f80b4fc9,Directing,Director
9448,False,2,58036,Directing,Kirk Wong,Kirk Wong,1.452,/wrKLSjzJyy8ykhyGfViCUJVyMgb.jpg,52fe44f8c3a36847f80b5073,Directing,Director
9449,False,2,18357,Directing,Peter Hewitt,Peter Hewitt,1.766,/b4KMprf8VqbAToPrEkH69mqCvtn.jpg,52fe44f9c3a36847f80b50f5,Directing,Director
9450,False,2,55299,Directing,Mark Herman,Mark Herman,2.827,,52fe44f9c3a36847f80b5153,Directing,Director
9451,False,2,13235,Directing,Alexander Payne,Alexander Payne,3.842,/d8mwLxuCMxMxcE8Qys9sdUb7UZg.jpg,52fe44f9c3a36847f80b51e3,Directing,Director
9453,False,2,58021,Directing,Tinto Brass,Tinto Brass,197.675,/adQ1j2FQ1FZ67hlZVhsUnALM4G4.jpg,5e9de9ae37109700224a0584,Directing,Director
9454,False,2,17167,Directing,Andy Tennant,Andy Tennant,1.48,/bvHhEFoAlPbbtioxrWZaOFNAu71.jpg,52fe44f9c3a36847f80b539d,Directing,Director
9455,False,2,15890,Directing,James Foley,James Foley,3.609,/ujAhQvNNnBqa6ZP2C46DMdAp09w.jpg,52fe44f9c3a36847f80b5417,Directing,Director
